sensor,description,dataType,location,type,unit,timeZone,publicAccess,component,componentType,componentDesc,componentPublicAccess,additionalInfo.Temps mostreig (min),additionalInfo.Rang mínim,additionalInfo.Rang màxim,componentAdditionalInfo.Comarca,componentAdditionalInfo.Província,componentAdditionalInfo.Riu,componentAdditionalInfo.Districte fluvial,componentAdditionalInfo.Subconca,componentAdditionalInfo.Terme municipal,componentAdditionalInfo.Capacitat màxima embassament,componentAdditionalInfo.Conca,componentAdditionalInfo.Coordenada X (UTM ETRS89),componentAdditionalInfo.Coordenada Y (UTM ETRS89),componentAdditionalInfo.Superfície conca drenada,componentAdditionalInfo.Titular,componentAdditionalInfo.Estat,componentTechnicalDetails.producer,componentTechnicalDetails.model,componentTechnicalDetails.serialNumber,componentTechnicalDetails.macAddress,componentTechnicalDetails.energy,componentTechnicalDetails.connectivity,"componentAdditionalInfo.Coordenades X,Y (UTM ETRS89)",technicalDetails.producer,technicalDetails.model,technicalDetails.serialNumber,technicalDetails.energy
080581-002-ANA006,Nivell absolut,NUMBER,41.255617318 1.651034658,0020,msnm,CET,True,080581-002,embassament,Foix (Castellet i la Gornal),True,5,90,220,ALT PENEDÈS,BARCELONA,RIU FOIX,ACA,EL FOIX,CASTELLET I LA GORNAL,"3,74 hm³",EL FOIX,386988,4568011,"293,32 km²",AGÈNCIA CATALANA DE L'AIGUA,Funcionalitat limitada,,,,,,,,,,,
081419-003-ANA005,Nivell absolut,NUMBER,42.099784969 1.58285827,0020,msnm,CET,True,081419-003,embassament,Llosa del Cavall (Navès),True,5,740,1200,SOLSONÈS,LLEIDA,RIU CARDENER,ACA,EL CARDENER,NAVÈS,"80,00 hm³",EL LLOBREGAT,382818,4661827,"197,00 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
082687-001-ANA015,Nivell absolut,NUMBER,42.122014524 1.878559556,0020,msnm,CET,True,082687-001,embassament,Baells (Cercs),True,5,540,670,BERGUEDÀ,BARCELONA,RIU LLOBREGAT,ACA,ALT LLOBREGAT,CERCS,"109,43 hm³",EL LLOBREGAT,407302,4663932,"503,35 km²",AGÈNCIA CATALANA DE L'AIGUA,Funcionalitat limitada,,,,,,,,,,,
083036-001-ANA023,Nivell absolut,NUMBER,41.968624956 2.413554059,0020,msnm,CET,True,083036-001,embassament,Sau (Vilanova de Sau),True,5,360,500,OSONA,BARCELONA,RIU TER,ACA,ALT TER,VILANOVA DE SAU,"165,26 hm³",EL TER,451408,4646459,"1564,00 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
170600-001-ANA021,Nivell absolut,NUMBER,42.340588782 2.833225165,0020,msnm,CET,True,170600-001,embassament,Darnius Boadella (Darnius) ,True,5,0,250,ALT EMPORDÀ,GIRONA,RIU MUGA,ACA,LA MUGA,DARNIUS,"61,10 hm³",LA MUGA,,,,AGÈNCIA CATALANA DE L'AIGUA,Funcionalitat limitada,,,,,,,486262;468760,,,,
171899-003-ANA007,Nivell absolut,NUMBER,41.984436008 2.601414188,0020,msnm,CET,True,171899-003,embassament,Pasteral (la Cellera de Ter),True,5,0,190,SELVA,GIRONA,RIU TER,ACA,ALT TER,"CELLERA DE TER, LA","1,30 hm³",EL TER,466982,4648125,"1799,00 km²","ENDESA GENERACION, SA",En servei,,,,,,,,,,,
250753-004-ANA010,Nivell absolut,NUMBER,41.962942293 1.605613258,0020,msnm,CET,True,250753-004,embassament,Sant Ponç (Clariana de Cardener),True,5,490,620,SOLSONÈS,LLEIDA,RIU CARDENER,ACA,EL CARDENER,CLARIANA DE CARDENER,"24,38 hm³",EL LLOBREGAT,384452,4646602,"304,99 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
430430-001-ANA002,Nivell absolut,NUMBER,41.195224935 1.327889195,0020,msnm,CET,True,430430-001,embassament,Gaià (el Catllar),True,5,80,110,TARRAGONÈS,TARRAGONA,RIU GAIÀ,ACA,EL GAIÀ,"CATLLAR, EL","59,40 hm³",EL GAIÀ,359786,4561777,"358,45 km²","REPSOL PETRÓLEO, SA",En servei,,,,,,,,,,,
430496-001-ANA001,Nivell absolut,NUMBER,41.249642381 0.913800784,0020,msnm,CET,True,430496-001,embassament,Siurana (Cornudella de Montsant),True,5,440,570,PRIORAT,TARRAGONA,E. SIURANA,ACA,RIU DE SIURANA,CORNUDELLA DE MONTSANT,"12,22 hm³",L'EBRE,325206,4568569,"60,40 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
430537-001-ANA006,Nivell absolut,NUMBER,41.134931354 0.960270444,0020,msnm,CET,True,430537-001,embassament,Riudecanyes,True,5,180,310,BAIX CAMP,TARRAGONA,RIERA DE RIUDECANYES,ACA,RIERA DE RIUDECANYES,RIUDECANYES,"5,32 hm³",RIERA DE RIUDECANYES,328801,4555741,"31,00 km²",COMUNITAT DE REGANTS DEL PANTÀ DE RIUDECANYES,En servei,,,,,,,,,,,
CALC000004,Volum embassat,NUMBER,41.255617318 1.651034658,0027,hm³,CET,True,080581-002,embassament,Foix (Castellet i la Gornal),True,5,0,10,ALT PENEDÈS,BARCELONA,RIU FOIX,ACA,EL FOIX,CASTELLET I LA GORNAL,"3,74 hm³",EL FOIX,386988,4568011,"293,32 km²",AGÈNCIA CATALANA DE L'AIGUA,Funcionalitat limitada,,,,,,,,,,,
CALC000005,Volum embassat,NUMBER,42.340588782 2.833225165,0027,hm³,CET,True,170600-001,embassament,Darnius Boadella (Darnius) ,True,5,0,60,ALT EMPORDÀ,GIRONA,RIU MUGA,ACA,LA MUGA,DARNIUS,"61,10 hm³",LA MUGA,,,,AGÈNCIA CATALANA DE L'AIGUA,Funcionalitat limitada,,,,,,,486262;468760,,,,
CALC000041,Percentatge volum embassat,NUMBER,41.255617318 1.651034658,0039,%,CET,True,080581-002,embassament,Foix (Castellet i la Gornal),True,5,0,110,ALT PENEDÈS,BARCELONA,RIU FOIX,ACA,EL FOIX,CASTELLET I LA GORNAL,"3,74 hm³",EL FOIX,386988,4568011,"293,32 km²",AGÈNCIA CATALANA DE L'AIGUA,Funcionalitat limitada,,,,,,,,,,,
CALC000046,Percentatge volum embassat,NUMBER,42.340588782 2.833225165,0039,%,CET,True,170600-001,embassament,Darnius Boadella (Darnius) ,True,5,0,100,ALT EMPORDÀ,GIRONA,RIU MUGA,ACA,LA MUGA,DARNIUS,"61,10 hm³",LA MUGA,,,,AGÈNCIA CATALANA DE L'AIGUA,Funcionalitat limitada,,,,,,,486262;468760,,,,
CALC000092,Volum embassat,NUMBER,41.195224935 1.327889195,0027,hm³,CET,True,430430-001,embassament,Gaià (el Catllar),True,5,0,70,TARRAGONÈS,TARRAGONA,RIU GAIÀ,ACA,EL GAIÀ,"CATLLAR, EL","59,40 hm³",EL GAIÀ,359786,4561777,"358,45 km²","REPSOL PETRÓLEO, SA",En servei,,,,,,,,,,,
CALC000103,Percentatge volum embassat,NUMBER,41.195224935 1.327889195,0039,%,CET,True,430430-001,embassament,Gaià (el Catllar),True,5,0,30,TARRAGONÈS,TARRAGONA,RIU GAIÀ,ACA,EL GAIÀ,"CATLLAR, EL","59,40 hm³",EL GAIÀ,359786,4561777,"358,45 km²","REPSOL PETRÓLEO, SA",En servei,,,,,,,,,,,
CALC000108,Volum embassat,NUMBER,41.134931354 0.960270444,0027,hm³,CET,True,430537-001,embassament,Riudecanyes,True,,,,BAIX CAMP,TARRAGONA,RIERA DE RIUDECANYES,ACA,RIERA DE RIUDECANYES,RIUDECANYES,"5,32 hm³",RIERA DE RIUDECANYES,328801,4555741,"31,00 km²",COMUNITAT DE REGANTS DEL PANTÀ DE RIUDECANYES,En servei,,,,,,,,,,,
CALC000120,Percentatge volum embassat,NUMBER,41.134931354 0.960270444,0039,%,CET,True,430537-001,embassament,Riudecanyes,True,5,0,90,BAIX CAMP,TARRAGONA,RIERA DE RIUDECANYES,ACA,RIERA DE RIUDECANYES,RIUDECANYES,"5,32 hm³",RIERA DE RIUDECANYES,328801,4555741,"31,00 km²",COMUNITAT DE REGANTS DEL PANTÀ DE RIUDECANYES,En servei,,,,,,,,,,,
CALC000123,Volum embassat,NUMBER,41.249642381 0.913800784,0027,hm³,CET,True,430496-001,embassament,Siurana (Cornudella de Montsant),True,5,0,10,PRIORAT,TARRAGONA,E. SIURANA,ACA,RIU DE SIURANA,CORNUDELLA DE MONTSANT,"12,22 hm³",L'EBRE,325206,4568569,"60,40 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
CALC000125,Percentatge volum embassat,NUMBER,41.249642381 0.913800784,0039,%,CET,True,430496-001,embassament,Siurana (Cornudella de Montsant),True,5,0,70,PRIORAT,TARRAGONA,E. SIURANA,ACA,RIU DE SIURANA,CORNUDELLA DE MONTSANT,"12,22 hm³",L'EBRE,325206,4568569,"60,40 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
CALC000126,Volum embassat,NUMBER,41.984436008 2.601414188,0027,hm³,CET,True,171899-003,embassament,Pasteral (la Cellera de Ter),True,5,0,1360,SELVA,GIRONA,RIU TER,ACA,ALT TER,"CELLERA DE TER, LA","1,30 hm³",EL TER,466982,4648125,"1799,00 km²","ENDESA GENERACION, SA",En servei,,,,,,,,,,,
CALC000143,Percentatge volum embassat,NUMBER,41.984436008 2.601414188,0039,%,CET,True,171899-003,embassament,Pasteral (la Cellera de Ter),True,5,40,180,SELVA,GIRONA,RIU TER,ACA,ALT TER,"CELLERA DE TER, LA","1,30 hm³",EL TER,466982,4648125,"1799,00 km²","ENDESA GENERACION, SA",En servei,,,,,,,,,,,
CALC000145,Volum embassat,NUMBER,41.968624956 2.413554059,0027,hm³,CET,True,083036-001,embassament,Sau (Vilanova de Sau),True,5,0,170,OSONA,BARCELONA,RIU TER,ACA,ALT TER,VILANOVA DE SAU,"165,26 hm³",EL TER,451408,4646459,"1564,00 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
CALC000152,Percentatge volum embassat,NUMBER,41.968624956 2.413554059,0039,%,CET,True,083036-001,embassament,Sau (Vilanova de Sau),True,5,10,90,OSONA,BARCELONA,RIU TER,ACA,ALT TER,VILANOVA DE SAU,"165,26 hm³",EL TER,451408,4646459,"1564,00 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
CALC000713,Percentatge volum embassat,NUMBER,42.122014524 1.878559556,0039,%,CET,True,082687-001,embassament,Baells (Cercs),True,5,50,100,BERGUEDÀ,BARCELONA,RIU LLOBREGAT,ACA,ALT LLOBREGAT,CERCS,"109,43 hm³",EL LLOBREGAT,407302,4663932,"503,35 km²",AGÈNCIA CATALANA DE L'AIGUA,Funcionalitat limitada,,,,,,,,,,,
CALC000722,Percentatge volum embassat,NUMBER,42.099784969 1.58285827,0039,%,CET,True,081419-003,embassament,Llosa del Cavall (Navès),True,5,0,100,SOLSONÈS,LLEIDA,RIU CARDENER,ACA,EL CARDENER,NAVÈS,"80,00 hm³",EL LLOBREGAT,382818,4661827,"197,00 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
CALC000735,Percentatge volum embassat,NUMBER,41.962942293 1.605613258,0039,%,CET,True,250753-004,embassament,Sant Ponç (Clariana de Cardener),True,5,70,100,SOLSONÈS,LLEIDA,RIU CARDENER,ACA,EL CARDENER,CLARIANA DE CARDENER,"24,38 hm³",EL LLOBREGAT,384452,4646602,"304,99 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
CALC000698,Volum embassat,NUMBER,42.099784969 1.58285827,0027,hm³,CET,True,081419-003,embassament,Llosa del Cavall (Navès),True,5,0,80,SOLSONÈS,LLEIDA,RIU CARDENER,ACA,EL CARDENER,NAVÈS,"80,00 hm³",EL LLOBREGAT,382818,4661827,"197,00 km²",AGÈNCIA CATALANA DE L'AIGUA,En servei,,,,,,,,,,,
