codi,nom,unitat,acronim,tipus,decimals
2000,Temperatura mitjana mensual,°C,TMm,EM,1
2001,Temperatura màxima absoluta mensual + data,°C,TXx,EM,1
2002,Temperatura mínima absoluta mensual + data,°C,TNn,EM,1
2003,Temperatura màxima mitjana mensual,°C,TXm,EM,1
2004,Temperatura mínima mitjana mensual,°C,TNm,EM,1
2005,Temperatura mitjana mensual clàssica,°C,TMmc,EM,1
2006,Núm. mensual de dies de glaçada,dies,dG,EM,0
2007,Amplitud tèrmica màxima mensual + data,°C,ATx,EM,1
2008,Amplitud tèrmica mitjana mensual,°C,ATm,EM,1
2009,Amplitud tèrmica extrema mensual,°C,ATe,EM,1
2100,Humitat relativa mitjana mensual,%,HRMm,EM,0
2101,Humitat relativa màxima abs. mensual + data,%,HRXx,EM,0
2102,Humitat relativa mínima abs. mensual + data,%,HRNn,EM,0
2103,Humitat relativa màxima mitjana mensual,%,HRXm,EM,0
2104,Humitat relativa mínima mitjana mensual,%,HRNm,EM,0
2200,Pressió atmosfèrica mitjana mensual,hPa,PMm,EM,1
2201,Pressió atmosfèrica màx. abs. mensual + data,hPa,PXx,EM,1
2202,Pressió atmosfèrica mín. abs. mensual + data,hPa,PNn,EM,1
2203,Pressió atmosfèrica màxima mitjana mensual,hPa,PXm,EM,1
2204,Pressió atmosfèrica mínima mitjana mensual,hPa,PNm,EM,1
2300,Precipitació acumulada mensual,mm,PPT,EM,1
2301,Precipitació acumulada mensual (8-8 h),mm,PPTc,EM,1
2302,Precipitació màxima en 1 min (mensual) + data,mm,PPTx1min,EM,1
2303,Precipitació màxima en 24 h (mensual) + data,mm,PPTx24h,EM,1
2304,Precipitació màx. 24 h (8-8 h) (mensual)+data,mm,PPTcx24h,EM,1
2305,Núm. mensual de dies de precipitació > 0 mm,dies,dPPT>0,EM,0
2306,"Núm. mensual de dies de precipitació > 0,2 mm",dies,"dPPT>0,2",EM,0
2307,Precipitació màxima en 1 h (mensual) + data,mm,PPTx1h,EM,1
2308,Precipitació màx. en 30 min (mensual) + data,mm,PPTx30min,EM,1
2309,Precipitació màx. en 10 min (mensual) + data,mm,PPTx10min,EM,1
2400,Mitj. mensual irradiació solar global diària,MJ/m2,RS24hm,EM,1
2503,Velocitat mitjana mensual de vent 10 m (esc.),m/s,VVMm10,EM,1
2504,Velocitat mitjana mensual de vent 6 m (esc.),m/s,VVMm6,EM,1
2505,Velocitat mitjana mensual de vent 2 m (esc.),m/s,VVMm2,EM,1
2509,Direcció mitjana mensual de vent  10 m (m. 1),°,DVMm10,EM,0
2510,Direcció mitjana mensual de vent 6 m (m. 1) ,°,DVMm6,EM,0
2511,Direcció mitjana mensual de vent 2 m (m. 1),°,DVMm2,EM,0
2512,Ratxa màxima abs. mensual de vent 10 m + data,m/s,VVXx10,EM,1
2513,Ratxa màxima abs. mensual de vent 6 m + data,m/s,VVXx6,EM,1
2514,Ratxa màxima abs. mensual de vent 2 m + data,m/s,VVXx2,EM,1
2515,Direcció de ratxa màx. mensual de vent 10 m,°,DVVXx10,EM,0
2516,Direcció de la ratxa màx. mensual de vent 6 m,°,DVVXx6,EM,0
2517,Direcció de la ratxa màx. mensual de vent 2 m,°,DVVXx2,EM,0
2518,Ratxa màxima mitjana mensual de vent 10 m,m/s,VVXm10,EM,1
2519,Ratxa màxima mitjana mensual de vent 6 m,m/s,VVXm6,EM,1
2520,Ratxa màxima mitjana mensual de vent 2 m,m/s,VVXm2,EM,1
2600,Gruix de neu mitjana mensual,cm,GNEUMm,EM,0
2601,Gruix de neu màxim mensual + data,cm,GNEUXx,EM,0
2602,Gruix màxim mensual de neu nova + data,cm,GNEUx24h,EM,0
