codi,nom,tipus,emplacament,altitud,estats,coordenades.latitud,coordenades.longitud,municipi.codi,municipi.nom,comarca.codi,comarca.nom,provincia.codi,provincia.nom,xarxa.codi,xarxa.nom
AN,Barcelona - Av. Lluís Companys,A,Av. Lluís Companys (Ciutadella),7.5,"[{'codi': 2, 'dataInici': '1992-05-11T15:30Z', 'dataFi': '2002-10-29T05:00Z'}, {'codi': 1, 'dataInici': '2002-10-29T05:00Z', 'dataFi': None}]",41.39004,2.18091,080193,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA
CA,Clariana de Cardener,A,Abocador comarcal,693.0,"[{'codi': 2, 'dataInici': '1996-05-02T09:00Z', 'dataFi': '2012-07-10T13:00Z'}, {'codi': 1, 'dataInici': '2012-07-10T13:00Z', 'dataFi': None}]",41.95378,1.5851,250753,Clariana de Cardener,35,Solsonès,25,Lleida,1,XEMA
CB,les Llosses,A,Abocador comarcal,700.0,"[{'codi': 2, 'dataInici': '1995-11-30T15:00Z', 'dataFi': '2003-06-02T08:30Z'}, {'codi': 1, 'dataInici': '2003-06-02T08:30Z', 'dataFi': None}]",42.15085,2.19914,170963,Les Llosses,31,Ripollès,17,Girona,1,XEMA
CC,Orís,A,Abocador comarcal,626.0,"[{'codi': 2, 'dataInici': '1995-11-15T10:00Z', 'dataFi': None}]",42.07398,2.20862,081509,Orís,24,Osona,8,Barcelona,1,XEMA
CD,la Seu d'Urgell - Bellestar,A,Abocador comarcal,849.0,"[{'codi': 2, 'dataInici': '1996-01-16T12:30Z', 'dataFi': None}]",42.37083,1.43277,252038,La Seu d'Urgell,4,Alt Urgell,25,Lleida,1,XEMA
CE,els Hostalets de Pierola,A,Abocador de residus,316.0,"[{'codi': 2, 'dataInici': '1996-03-31T23:00Z', 'dataFi': None}]",41.53109,1.80813,081629,Els Hostalets de Pierola,6,Anoia,8,Barcelona,1,XEMA
CF,Lloret de Mar,A,Abocador municipal,63.3,"[{'codi': 2, 'dataInici': '1996-02-05T12:00Z', 'dataFi': '2003-06-16T09:00Z'}, {'codi': 1, 'dataInici': '2003-06-16T09:00Z', 'dataFi': None}]",41.72346,2.84282,170950,Lloret de Mar,34,Selva,17,Girona,1,XEMA
CG,Molló - Fabert,A,Veïnat de Fabert,1405.0,"[{'codi': 2, 'dataInici': '1996-06-06T14:00Z', 'dataFi': None}]",42.37717,2.41456,171077,Molló,31,Ripollès,17,Girona,1,XEMA
CH,Falset - Escola,A,Col·legi Públic Antoni Vilanova,350.0,"[{'codi': 2, 'dataInici': '1995-12-01T02:00Z', 'dataFi': '2005-07-05T16:00Z'}, {'codi': 1, 'dataInici': '2005-07-05T16:00Z', 'dataFi': None}]",41.15076,0.82357,430555,Falset,29,Priorat,43,Tarragona,1,XEMA
CI,Sant Pau de Segúries,A,Estació meteorològica municipal,852.0,"[{'codi': 2, 'dataInici': '1995-11-24T15:00Z', 'dataFi': None}]",42.25839,2.36429,171772,Sant Pau de Segúries,31,Ripollès,17,Girona,1,XEMA
CJ,Organyà,A,Càmping municipal,566.5,"[{'codi': 2, 'dataInici': '1996-01-16T10:30Z', 'dataFi': None}]",42.21624,1.33132,251556,Organyà,4,Alt Urgell,25,Lleida,1,XEMA
CK,Santa Coloma de Farners,A,Dipòsit d'aigua,163.0,"[{'codi': 2, 'dataInici': '1996-02-05T17:30Z', 'dataFi': '2004-06-08T09:00Z'}, {'codi': 1, 'dataInici': '2004-06-08T09:00Z', 'dataFi': None}]",41.86472,2.66451,171805,Santa Coloma de Farners,34,Selva,17,Girona,1,XEMA
CL,Sant Salvador de Guardiola,A,Urbanització Miralda,349.0,"[{'codi': 2, 'dataInici': '1996-02-02T11:30Z', 'dataFi': None}]",41.67399,1.76796,080983,Sant Salvador de Guardiola,7,Bages,8,Barcelona,1,XEMA
CM,Montmeló,A,Torreta de Can Campanyà,75.2,"[{'codi': 2, 'dataInici': '1996-01-23T19:30Z', 'dataFi': '2006-03-22T09:00Z'}, {'codi': 1, 'dataInici': '2006-03-22T09:00Z', 'dataFi': None}]",41.54911,2.24546,081350,Montmeló,41,Vallès Oriental,8,Barcelona,1,XEMA
CN,Guardiola de Berguedà - Escola,A,Centre d'Assistència Primària,719.8,"[{'codi': 2, 'dataInici': '1996-02-20T11:00Z', 'dataFi': '2005-03-21T10:00Z'}, {'codi': 1, 'dataInici': '2005-03-21T10:00Z', 'dataFi': None}]",42.22903,1.87672,080996,Guardiola de Berguedà,14,Berguedà,8,Barcelona,1,XEMA
CO,Torres de Segre - Depuradora,A,Depuradora municipal,143.6,"[{'codi': 2, 'dataInici': '1995-11-23T17:00Z', 'dataFi': '2006-05-25T10:00Z'}, {'codi': 1, 'dataInici': '2006-05-25T10:00Z', 'dataFi': None}]",41.52603,0.52711,252326,Torres de Segre,33,Segrià,25,Lleida,1,XEMA
CP,Sant Romà d'Abella,A,Sant Romà d'Abella - el Tossal,690.0,"[{'codi': 2, 'dataInici': '1996-05-20T14:30Z', 'dataFi': None}]",42.13924,1.03893,251155,Isona i Conca Dellà,25,Pallars Jussà,25,Lleida,1,XEMA
CQ,Vilanova de Meià,A,Camp de fútbol,594.0,"[{'codi': 2, 'dataInici': '1996-04-01T11:00Z', 'dataFi': None}]",41.99546,1.02569,252509,Vilanova de Meià,23,Noguera,25,Lleida,1,XEMA
CR,la Quar,A,Sant Maurici,873.0,"[{'codi': 2, 'dataInici': '1996-03-13T11:30Z', 'dataFi': None}]",42.08032,1.9624,081770,La Quar,14,Berguedà,8,Barcelona,1,XEMA
CS,Viladrau - centre,A,Mas del Torrent,777.0,"[{'codi': 2, 'dataInici': '1995-12-05T10:30Z', 'dataFi': '2004-06-08T14:00Z'}, {'codi': 1, 'dataInici': '2004-06-08T14:00Z', 'dataFi': None}]",41.84502,2.3881,172207,Viladrau,24,Osona,17,Girona,1,XEMA
CT,el Pont de Suert,A,Depuradora municipal,823.0,"[{'codi': 2, 'dataInici': '1996-02-14T14:00Z', 'dataFi': None}]",42.39811,0.74362,251734,El Pont de Suert,5,Alta Ribagorça,25,Lleida,1,XEMA
CU,Vielha,A,Prat de Tixineret,1002.0,"[{'codi': 2, 'dataInici': '1996-02-15T13:30Z', 'dataFi': '2022-06-01T10:30Z'}, {'codi': 1, 'dataInici': '2022-06-01T10:30Z', 'dataFi': None}]",42.69856,0.79397,252430,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA
CV,la Pobla de Segur - Bombers,A,Parc de Bombers,513.3,"[{'codi': 2, 'dataInici': '1995-12-22T16:00Z', 'dataFi': '2016-11-18T14:00Z'}, {'codi': 1, 'dataInici': '2016-11-18T14:00Z', 'dataFi': None}]",42.23939,0.96434,251713,La Pobla de Segur,25,Pallars Jussà,25,Lleida,1,XEMA
CW,l'Espluga de Francolí,A,Urb. Espluga Parc,446.0,"[{'codi': 2, 'dataInici': '1996-02-23T21:00Z', 'dataFi': None}]",41.39241,1.09894,430542,L'Espluga de Francolí,16,Conca de Barberà,43,Tarragona,1,XEMA
CX,Vic - 1,A,Estadi d'atletisme,497.8,"[{'codi': 2, 'dataInici': '1996-01-18T14:30Z', 'dataFi': '2003-01-01T00:00Z'}, {'codi': 1, 'dataInici': '2003-01-01T00:00Z', 'dataFi': None}]",41.93582,2.23857,082981,Vic,24,Osona,8,Barcelona,1,XEMA
CY,Muntanyola,A,Esglèsia de St. Quirze i Sta. Julita,816.0,"[{'codi': 2, 'dataInici': '1996-01-12T12:00Z', 'dataFi': None}]",41.87813,2.17873,081290,Muntanyola,24,Osona,8,Barcelona,1,XEMA
CZ,Ulldemolins - Zona Esportiva,A,Poliesportiu municipal,631.0,"[{'codi': 2, 'dataInici': '1996-03-04T10:30Z', 'dataFi': '2008-04-15T09:00Z'}, {'codi': 1, 'dataInici': '2008-04-15T09:00Z', 'dataFi': None}]",41.3191,0.87868,431573,Ulldemolins,29,Priorat,43,Tarragona,1,XEMA
C6,Castellnou de Seana,A,Abocador comarcal,264.0,"[{'codi': 2, 'dataInici': '1995-12-16T23:00Z', 'dataFi': None}]",41.6566,0.95172,250680,Castellnou de Seana,27,Pla d'Urgell,25,Lleida,1,XEMA
C7,Tàrrega,A,Abocador comarcal,427.0,"[{'codi': 2, 'dataInici': '1995-11-06T18:00Z', 'dataFi': None}]",41.66695,1.16234,252173,Tàrrega,38,Urgell,25,Lleida,1,XEMA
C8,Cervera,A,Abocador comarcal,554.0,"[{'codi': 2, 'dataInici': '1995-10-27T10:30Z', 'dataFi': None}]",41.67555,1.29609,250729,Cervera,32,Segarra,25,Lleida,1,XEMA
C9,Mas de Barberans,A,Abocador comarcal,240.0,"[{'codi': 2, 'dataInici': '1997-04-11T11:30Z', 'dataFi': None}]",40.71825,0.39988,430770,Mas de Barberans,22,Montsià,43,Tarragona,1,XEMA
