date,name,total_volume,percentage,current_volume,sensor_current_volume,sensor_total_volume,sensor_percentage
2024-11-11,Embassament de la Llosa del Cavall (Navès),780.4,34.729,27.655,CALC000698,081419-003-ANA005,CALC000722
2024-11-11,Embassament de la Baells (Cercs),615.59,59.201,64.784,CALC000697,082687-001-ANA015,CALC000713
2024-11-11,Embassament de Susqueda (Osor),307.711,27.159,63.39,CALC000158,171169-001-ANA009,CALC000168
2024-11-11,Embassament de Siurana (Cornudella de Montsant),458.91,7.954,0.972,CALC000123,430496-001-ANA001,CALC000125
2024-11-11,Embassament de Sau (Vilanova de Sau),398.43,31.074,51.353,CALC000145,083036-001-ANA023,CALC000152
2024-11-11,Embassament de Sant Ponç (Clariana de Cardener),517.64,42.916,10.463,CALC000699,250753-004-ANA010,CALC000735
2024-11-11,Embassament de Riudecanyes,203.49,18.553,0.987,CALC000108,430537-001-ANA006,CALC000120
2024-11-11,Embassament de Pasteral (la Cellera de Ter),188.401,86.406,1.106,CALC000126,171899-003-ANA007,CALC000143
2024-11-11,Embassament de Gaià (el Catllar),80.516,1.305,0.783,CALC000092,430430-001-ANA002,CALC000103
2024-11-11,Embassament de Foix (Castellet i la Gornal),100.49,99.706,3.737,CALC000004,080581-002-ANA006,CALC000041
2024-11-11,Embassament de Darnius Boadella (Darnius),136.55,18.087,11.051,CALC000005,170600-001-ANA021,CALC000046
