name,sensor,latitude,longitude
Embassament de Foix (Castellet i la Gornal),CALC000004,41.255617318,1.651034658
Embassament de Darnius Boadella (Darnius),CALC000005,42.340588782,2.833225165
Embassament de Gaià (el Catllar),CALC000092,41.195224935,1.327889195
Embassament de Riudecanyes,CALC000108,41.134931354,0.960270444
Embassament de Siurana (Cornudella de Montsant),CALC000123,41.249642381,0.913800784
Embassament de Pasteral (la Cellera de Ter),CALC000126,41.984436008,2.601414188
Embassament de Sau (Vilanova de Sau),CALC000145,41.968624956,2.413554059
Embassament de la Llosa del Cavall (Navès),CALC000698,42.099784969,1.58285827
Embassament de la Baells (Cercs),CALC000697,42.122014524,1.878559556
Embassament de Sant Ponç (Clariana de Cardener),CALC000699,41.962942293,1.605613258
Embassament de Susqueda (Osor),CALC000158,41.979075237,2.527357457
