data,valor,codiEstacio,codiVariable
2024-10-11,0.0,ZE,1300
2024-10-11,0.0,ZC,1300
2024-10-11,0.0,ZB,1300
2024-10-11,0.0,Z9,1300
2024-10-11,0.0,Z7,1300
2024-10-11,0.0,Z6,1300
2024-10-11,0.0,Z5,1300
2024-10-11,0.0,Z3,1300
2024-10-11,0.0,Z2,1300
2024-10-11,0.0,Z1,1300
2024-10-11,0.0,YS,1300
2024-10-11,0.0,YR,1300
2024-10-11,0.0,YQ,1300
2024-10-11,0.3,YP,1300
2024-10-11,0.0,YO,1300
2024-10-11,0.0,YN,1300
2024-10-11,0.0,YM,1300
2024-10-11,0.0,YL,1300
2024-10-11,0.0,YK,1300
2024-10-11,0.0,YJ,1300
2024-10-11,0.0,YH,1300
2024-10-11,0.0,YG,1300
2024-10-11,0.0,YF,1300
2024-10-11,0.0,YE,1300
2024-10-11,0.0,YD,1300
2024-10-11,0.0,YC,1300
2024-10-11,0.1,YB,1300
2024-10-11,0.0,YA,1300
2024-10-11,0.0,Y6,1300
2024-10-11,0.0,Y5,1300
2024-10-11,0.0,Y4,1300
2024-10-11,0.1,XZ,1300
2024-10-11,0.0,XY,1300
2024-10-11,0.0,XX,1300
2024-10-11,0.0,XV,1300
2024-10-11,0.0,XU,1300
2024-10-11,0.0,XT,1300
2024-10-11,0.0,XS,1300
2024-10-11,0.0,XR,1300
2024-10-11,0.0,XQ,1300
2024-10-11,0.0,XP,1300
2024-10-11,0.0,XO,1300
2024-10-11,0.0,XN,1300
2024-10-11,0.0,XM,1300
2024-10-11,0.0,XL,1300
2024-10-11,0.2,XK,1300
2024-10-11,0.0,XJ,1300
2024-10-11,0.0,XI,1300
2024-10-11,0.0,XH,1300
2024-10-11,0.0,XG,1300
2024-10-11,0.0,XF,1300
2024-10-11,0.0,XE,1300
2024-10-11,0.0,XD,1300
2024-10-11,0.0,XC,1300
2024-10-11,0.0,XB,1300
2024-10-11,0.0,XA,1300
2024-10-11,0.0,X9,1300
2024-10-11,0.0,X8,1300
2024-10-11,0.0,X7,1300
2024-10-11,0.0,X6,1300
2024-10-11,0.0,X5,1300
2024-10-11,0.0,X4,1300
2024-10-11,0.0,X3,1300
2024-10-11,0.0,X1,1300
2024-10-11,0.0,WZ,1300
2024-10-11,0.0,WX,1300
2024-10-11,0.0,WW,1300
2024-10-11,0.0,WV,1300
2024-10-11,0.0,WU,1300
2024-10-11,0.7,WT,1300
2024-10-11,0.1,WS,1300
2024-10-11,0.0,WR,1300
2024-10-11,0.0,WQ,1300
2024-10-11,0.0,WP,1300
2024-10-11,0.0,WO,1300
2024-10-11,0.0,WN,1300
2024-10-11,0.0,WM,1300
2024-10-11,0.0,WL,1300
2024-10-11,0.0,WK,1300
2024-10-11,0.0,WJ,1300
2024-10-11,0.0,WI,1300
2024-10-11,0.0,WG,1300
2024-10-11,0.0,WE,1300
2024-10-11,0.0,WD,1300
2024-10-11,0.0,WC,1300
2024-10-11,0.0,WB,1300
2024-10-11,0.0,WA,1300
2024-10-11,0.0,W9,1300
2024-10-11,0.0,W8,1300
2024-10-11,0.1,W5,1300
2024-10-11,0.0,W4,1300
2024-10-11,0.0,W1,1300
2024-10-11,0.0,VZ,1300
2024-10-11,0.0,VY,1300
2024-10-11,0.0,VX,1300
2024-10-11,0.0,VV,1300
2024-10-11,0.0,VU,1300
2024-10-11,0.0,VS,1300
2024-10-11,0.0,VQ,1300
2024-10-11,0.0,VP,1300
2024-10-11,0.0,VO,1300
2024-10-11,0.0,VM,1300
2024-10-11,0.0,VK,1300
2024-10-11,0.0,VH,1300
2024-10-11,0.0,VD,1300
2024-10-11,0.0,VC,1300
2024-10-11,0.0,VB,1300
2024-10-11,0.0,VA,1300
2024-10-11,0.0,V8,1300
2024-10-11,0.0,V5,1300
2024-10-11,0.0,V4,1300
2024-10-11,0.0,V1,1300
2024-10-11,0.0,UY,1300
2024-10-11,0.0,UX,1300
2024-10-11,0.0,UW,1300
2024-10-11,0.0,UU,1300
2024-10-11,0.0,US,1300
2024-10-11,0.0,UQ,1300
2024-10-11,0.0,UP,1300
2024-10-11,2.8,UO,1300
2024-10-11,0.1,UN,1300
2024-10-11,0.0,UM,1300
2024-10-11,0.0,UK,1300
2024-10-11,0.0,UJ,1300
2024-10-11,0.0,UI,1300
2024-10-11,0.0,UH,1300
2024-10-11,0.0,UG,1300
2024-10-11,0.0,UF,1300
2024-10-11,0.1,UE,1300
2024-10-11,0.9,UB,1300
2024-10-11,0.0,UA,1300
2024-10-11,0.0,U9,1300
2024-10-11,0.0,U7,1300
2024-10-11,0.0,U6,1300
2024-10-11,0.0,U4,1300
2024-10-11,0.0,U3,1300
2024-10-11,0.0,U2,1300
2024-10-11,0.0,MW,1300
2024-10-11,0.0,MV,1300
2024-10-11,0.0,MS,1300
2024-10-11,0.0,MR,1300
2024-10-11,0.0,MQ,1300
2024-10-11,0.0,M6,1300
2024-10-11,0.0,KX,1300
2024-10-11,0.6,KP,1300
2024-10-11,0.0,KE,1300
2024-10-11,0.1,J5,1300
2024-10-11,0.0,H1,1300
2024-10-11,0.0,DQ,1300
2024-10-11,0.0,DP,1300
2024-10-11,0.8,DO,1300
2024-10-11,0.0,DN,1300
2024-10-11,0.0,DL,1300
2024-10-11,0.0,DK,1300
2024-10-11,0.1,DJ,1300
2024-10-11,0.0,DI,1300
2024-10-11,0.0,DG,1300
2024-10-11,0.6,DF,1300
2024-10-11,0.4,DB,1300
2024-10-11,0.0,DB,1300
2024-10-11,0.0,D9,1300
2024-10-11,0.0,D8,1300
2024-10-11,0.0,D7,1300
2024-10-11,0.0,D6,1300
2024-10-11,0.0,D5,1300
2024-10-11,0.0,D4,1300
2024-10-11,0.0,D3,1300
2024-10-11,0.0,D2,1300
2024-10-11,0.0,D1,1300
2024-10-11,0.0,CY,1300
2024-10-11,0.0,CW,1300
2024-10-11,0.0,CT,1300
2024-10-11,0.0,CR,1300
2024-10-11,0.0,CQ,1300
2024-10-11,0.0,CP,1300
2024-10-11,0.0,CL,1300
2024-10-11,0.0,CJ,1300
2024-10-11,0.0,CI,1300
2024-10-11,0.0,CG,1300
2024-10-11,0.0,CE,1300
2024-10-11,0.0,CD,1300
2024-10-11,0.0,CC,1300
2024-10-11,0.0,C9,1300
2024-10-11,0.0,C8,1300
2024-10-11,0.0,C7,1300
2024-10-11,0.0,C6,1300
