data,codiEstacio,codiVariable,valor
2024-11-17,ZE,1600,1.0
2024-11-17,ZC,1600,0.0
2024-11-17,ZB,1600,1.0
2024-11-17,Z9,1600,3.0
2024-11-17,Z9,1600,5.0
2024-11-17,Z7,1600,0.0
2024-11-17,Z6,1600,4.0
2024-11-17,Z6,1600,7.0
2024-11-17,Z5,1600,10.0
2024-11-17,Z5,1600,2.0
2024-11-17,Z3,1600,2.0
2024-11-17,Z3,1600,1.0
2024-11-17,Z2,1600,8.0
2024-11-17,Z1,1600,0.0
2024-11-17,YN,1600,6.0
2024-11-17,YN,1600,5.0
2024-11-17,XR,1600,26.0
2024-11-17,XR,1600,27.0
2024-11-17,XK,1600,1.0
2024-11-17,XH,1600,3.0
2024-11-17,XH,1600,6.0
2024-11-17,DP,1600,2.0
2024-11-17,DP,1600,1.0
2024-11-17,DG,1600,0.0
2024-11-17,CG,1600,11.0
2024-11-17,CG,1600,12.0
2024-11-16,ZE,1600,1.0
2024-11-16,ZB,1600,1.0
2024-11-16,Z9,1600,5.0
2024-11-16,Z6,1600,5.0
2024-11-16,Z3,1600,0.0
2024-11-16,Z2,1600,8.0
2024-11-16,YN,1600,5.0
2024-11-16,XK,1600,1.0
2024-11-16,XH,1600,5.0
2024-11-16,DP,1600,2.0
2024-11-16,CG,1600,12.0
2024-11-15,ZE,1600,0.0
2024-11-15,ZC,1600,0.0
2024-11-15,ZB,1600,1.0
2024-11-15,Z9,1600,4.0
2024-11-15,Z6,1600,4.0
2024-11-15,Z5,1600,6.0
2024-11-15,Z3,1600,0.0
2024-11-15,Z2,1600,10.0
2024-11-15,YN,1600,2.0
2024-11-15,XK,1600,0.0
2024-11-15,XH,1600,3.0
2024-11-15,DP,1600,1.0
2024-11-15,CG,1600,5.0
2024-11-14,ZE,1600,0.0
2024-11-14,ZC,1600,0.0
2024-11-14,ZB,1600,0.0
2024-11-14,Z9,1600,5.0
2024-11-14,Z7,1600,0.0
2024-11-14,Z6,1600,2.0
2024-11-14,Z5,1600,7.0
2024-11-14,Z3,1600,0.0
2024-11-14,Z2,1600,12.0
2024-11-14,Z1,1600,0.0
2024-11-14,YN,1600,0.0
2024-11-14,XR,1600,0.0
2024-11-14,XK,1600,0.0
2024-11-14,XH,1600,0.0
2024-11-14,X5,1600,0.0
2024-11-14,DP,1600,0.0
2024-11-14,DG,1600,0.0
2024-11-14,CG,1600,0.0
2024-11-13,ZE,1600,1.0
2024-11-13,ZC,1600,1.0
2024-11-13,ZB,1600,0.0
2024-11-13,Z9,1600,4.0
2024-11-13,Z7,1600,0.0
2024-11-13,Z6,1600,5.0
2024-11-13,Z5,1600,10.0
2024-11-13,Z3,1600,1.0
2024-11-13,Z2,1600,10.0
2024-11-13,Z1,1600,2.0
2024-11-13,YN,1600,0.0
2024-11-13,XR,1600,0.0
2024-11-13,XK,1600,0.0
2024-11-13,XH,1600,0.0
2024-11-13,X5,1600,0.0
2024-11-13,DP,1600,0.0
2024-11-13,DG,1600,0.0
2024-11-13,CG,1600,0.0
2024-11-12,ZE,1600,0.0
2024-11-12,ZC,1600,0.0
2024-11-12,ZB,1600,0.0
2024-11-12,Z9,1600,0.0
2024-11-12,Z7,1600,0.0
2024-11-12,Z6,1600,3.0
2024-11-12,Z5,1600,7.0
2024-11-12,Z3,1600,0.0
2024-11-12,Z2,1600,0.0
2024-11-12,Z1,1600,2.0
2024-11-12,YN,1600,0.0
2024-11-12,XR,1600,0.0
2024-11-12,XK,1600,0.0
2024-11-12,XH,1600,0.0
2024-11-12,X5,1600,0.0
2024-11-12,DP,1600,0.0
2024-11-12,DG,1600,0.0
2024-11-12,CG,1600,0.0
2024-11-11,ZE,1600,0.0
2024-11-11,ZC,1600,0.0
2024-11-11,ZB,1600,0.0
2024-11-11,Z9,1600,0.0
2024-11-11,Z7,1600,0.0
2024-11-11,Z6,1600,0.0
2024-11-11,Z5,1600,0.0
2024-11-11,Z3,1600,0.0
2024-11-11,Z2,1600,0.0
2024-11-11,Z1,1600,0.0
2024-11-11,YN,1600,0.0
2024-11-11,XR,1600,0.0
2024-11-11,XK,1600,0.0
2024-11-11,XH,1600,0.0
2024-11-11,X5,1600,0.0
2024-11-11,VS,1600,0.0
2024-11-11,DP,1600,0.0
2024-11-11,DG,1600,0.0
2024-11-11,CG,1600,0.0
2024-11-10,ZE,1600,0.0
2024-11-10,ZC,1600,0.0
2024-11-10,ZB,1600,0.0
2024-11-10,Z9,1600,0.0
2024-11-10,Z7,1600,0.0
2024-11-10,Z6,1600,0.0
2024-11-10,Z5,1600,1.0
2024-11-10,Z3,1600,0.0
2024-11-10,Z2,1600,0.0
2024-11-10,Z1,1600,0.0
2024-11-10,YN,1600,0.0
2024-11-10,XR,1600,0.0
2024-11-10,XK,1600,0.0
2024-11-10,XH,1600,0.0
2024-11-10,X5,1600,0.0
2024-11-10,VS,1600,0.0
2024-11-10,DP,1600,0.0
2024-11-10,DG,1600,0.0
2024-11-10,CG,1600,0.0
2024-11-09,ZE,1600,0.0
2024-11-09,ZC,1600,0.0
2024-11-09,ZB,1600,0.0
2024-11-09,Z9,1600,0.0
2024-11-09,Z7,1600,0.0
2024-11-09,Z6,1600,0.0
2024-11-09,Z5,1600,0.0
2024-11-09,Z3,1600,0.0
