data,valor,percentatge,codiEstacio,codiVariable
1997-12-01Z,0.0,100.0,AN,1300
1997-12-02Z,0.0,100.0,AN,1300
1997-12-03Z,0.0,100.0,AN,1300
1997-12-04Z,4.6,100.0,AN,1300
1997-12-05Z,0.0,100.0,AN,1300
1997-12-06Z,0.0,100.0,AN,1300
1997-12-07Z,0.0,100.0,AN,1300
1997-12-08Z,0.0,100.0,AN,1300
1997-12-09Z,0.0,100.0,AN,1300
1997-12-10Z,0.0,100.0,AN,1300
1997-12-11Z,0.0,100.0,AN,1300
1997-12-13Z,0.0,100.0,AN,1300
1997-12-14Z,0.0,100.0,AN,1300
1997-12-15Z,0.0,100.0,AN,1300
1997-12-16Z,42.0,100.0,AN,1300
1997-12-17Z,2.4,100.0,AN,1300
1997-12-18Z,30.8,100.0,AN,1300
1997-12-19Z,0.0,97.9,AN,1300
1997-12-20Z,0.0,100.0,AN,1300
1997-12-21Z,0.0,100.0,AN,1300
1997-12-22Z,0.0,100.0,AN,1300
1997-12-23Z,2.6,100.0,AN,1300
1997-12-24Z,0.0,100.0,AN,1300
1997-12-25Z,0.0,100.0,AN,1300
1997-12-26Z,4.6,100.0,AN,1300
1997-12-27Z,0.0,100.0,AN,1300
1997-12-28Z,0.0,100.0,AN,1300
1997-12-29Z,0.0,100.0,AN,1300
1997-12-30Z,0.2,100.0,AN,1300
1997-12-31Z,0.0,100.0,AN,1300
1997-12-01Z,0.0,100.0,C6,1300
1997-12-02Z,0.0,100.0,C6,1300
1997-12-03Z,0.0,100.0,C6,1300
1997-12-04Z,2.6,100.0,C6,1300
1997-12-05Z,4.4,100.0,C6,1300
1997-12-06Z,0.0,100.0,C6,1300
1997-12-07Z,0.2,100.0,C6,1300
1997-12-08Z,0.0,100.0,C6,1300
1997-12-09Z,0.2,100.0,C6,1300
1997-12-10Z,0.2,100.0,C6,1300
1997-12-11Z,0.0,100.0,C6,1300
1997-12-12Z,0.2,100.0,C6,1300
1997-12-13Z,0.0,100.0,C6,1300
1997-12-14Z,0.2,100.0,C6,1300
1997-12-15Z,0.0,100.0,C6,1300
1997-12-16Z,6.8,100.0,C6,1300
1997-12-17Z,19.6,100.0,C6,1300
1997-12-18Z,30.0,100.0,C6,1300
1997-12-19Z,0.0,100.0,C6,1300
1997-12-20Z,0.0,100.0,C6,1300
1997-12-21Z,0.0,100.0,C6,1300
1997-12-22Z,0.0,100.0,C6,1300
1997-12-23Z,2.2,100.0,C6,1300
1997-12-24Z,0.0,100.0,C6,1300
1997-12-25Z,0.0,100.0,C6,1300
1997-12-26Z,0.4,100.0,C6,1300
1997-12-27Z,0.0,100.0,C6,1300
1997-12-28Z,0.0,100.0,C6,1300
1997-12-29Z,0.0,100.0,C6,1300
1997-12-30Z,0.0,100.0,C6,1300
1997-12-31Z,8.8,100.0,C6,1300
1997-12-01Z,0.0,100.0,C7,1300
1997-12-02Z,0.0,100.0,C7,1300
1997-12-03Z,0.0,100.0,C7,1300
1997-12-04Z,0.4,100.0,C7,1300
1997-12-05Z,5.0,100.0,C7,1300
1997-12-06Z,3.6,100.0,C7,1300
1997-12-07Z,0.6,100.0,C7,1300
1997-12-08Z,0.0,100.0,C7,1300
1997-12-01Z,0.0,100.0,C8,1300
1997-12-02Z,0.0,100.0,C8,1300
1997-12-03Z,0.0,100.0,C8,1300
1997-12-04Z,0.0,100.0,C8,1300
1997-12-05Z,0.4,100.0,C8,1300
1997-12-06Z,3.6,100.0,C8,1300
1997-12-07Z,6.2,100.0,C8,1300
1997-12-08Z,0.2,100.0,C8,1300
1997-12-09Z,0.0,100.0,C8,1300
1997-12-10Z,0.2,100.0,C8,1300
1997-12-11Z,0.0,100.0,C8,1300
1997-12-12Z,0.0,100.0,C8,1300
1997-12-13Z,0.0,100.0,C8,1300
1997-12-14Z,0.0,100.0,C8,1300
1997-12-15Z,0.0,100.0,C8,1300
1997-12-16Z,4.2,100.0,C8,1300
1997-12-17Z,15.0,100.0,C8,1300
1997-12-18Z,25.8,100.0,C8,1300
1997-12-19Z,0.0,100.0,C8,1300
1997-12-20Z,0.0,100.0,C8,1300
1997-12-21Z,0.0,100.0,C8,1300
1997-12-22Z,0.0,100.0,C8,1300
1997-12-23Z,0.2,100.0,C8,1300
1997-12-24Z,0.0,100.0,C8,1300
1997-12-25Z,0.0,100.0,C8,1300
1997-12-26Z,0.0,100.0,C8,1300
1997-12-27Z,0.0,100.0,C8,1300
1997-12-28Z,0.0,100.0,C8,1300
1997-12-29Z,0.0,100.0,C8,1300
1997-12-30Z,0.2,100.0,C8,1300
1997-12-31Z,2.8,100.0,C8,1300
1997-12-01Z,0.0,100.0,C9,1300
1997-12-02Z,0.0,100.0,C9,1300
1997-12-03Z,0.0,97.9,C9,1300
1997-12-04Z,1.0,97.9,C9,1300
1997-12-05Z,8.4,97.9,C9,1300
1997-12-06Z,0.0,100.0,C9,1300
1997-12-07Z,0.0,100.0,C9,1300
1997-12-08Z,0.0,97.9,C9,1300
1997-12-09Z,0.0,100.0,C9,1300
1997-12-10Z,0.0,100.0,C9,1300
1997-12-11Z,0.0,97.9,C9,1300
1997-12-12Z,0.4,100.0,C9,1300
1997-12-13Z,0.0,97.9,C9,1300
1997-12-14Z,0.0,100.0,C9,1300
1997-12-16Z,17.8,100.0,C9,1300
1997-12-17Z,10.0,95.8,C9,1300
1997-12-18Z,1.6,100.0,C9,1300
1997-12-19Z,0.0,100.0,C9,1300
1997-12-20Z,0.0,100.0,C9,1300
1997-12-21Z,0.0,100.0,C9,1300
1997-12-22Z,0.0,100.0,C9,1300
1997-12-23Z,0.0,97.9,C9,1300
1997-12-24Z,0.0,100.0,C9,1300
1997-12-25Z,0.0,100.0,C9,1300
1997-12-26Z,0.0,100.0,C9,1300
1997-12-27Z,0.0,100.0,C9,1300
1997-12-28Z,0.0,100.0,C9,1300
1997-12-29Z,0.0,100.0,C9,1300
