data,valor,percentatge,codiEstacio,codiVariable
1989-05-01Z,0.0,100,U2,1300
1989-05-03Z,0.0,100,U2,1300
1989-05-04Z,0.0,100,U2,1300
1989-05-05Z,0.0,100,U2,1300
1989-05-06Z,0.2,100,U2,1300
1989-05-07Z,0.0,100,U2,1300
1989-05-08Z,0.2,100,U2,1300
1989-05-09Z,0.0,100,U2,1300
1989-05-10Z,0.2,100,U2,1300
1989-05-11Z,0.0,100,U2,1300
1989-05-12Z,5.9,100,U2,1300
1989-05-13Z,11.7,100,U2,1300
1989-05-14Z,0.0,100,U2,1300
1989-05-15Z,0.0,100,U2,1300
1989-05-16Z,0.0,100,U2,1300
1989-05-17Z,0.0,100,U2,1300
1989-05-18Z,0.0,100,U2,1300
1989-05-19Z,0.2,100,U2,1300
1989-05-20Z,0.0,100,U2,1300
1989-05-21Z,0.0,100,U2,1300
1989-05-22Z,0.0,100,U2,1300
1989-05-23Z,0.2,100,U2,1300
1989-05-24Z,0.0,100,U2,1300
1989-05-25Z,0.2,100,U2,1300
1989-05-26Z,2.0,100,U2,1300
1989-05-27Z,0.2,100,U2,1300
1989-05-28Z,0.2,100,U2,1300
1989-05-29Z,0.0,100,U2,1300
1989-05-30Z,0.0,100,U2,1300
1989-05-31Z,7.1,100,U2,1300
1989-05-01Z,0.0,100,UB,1300
1989-05-02Z,0.0,100,UB,1300
1989-05-03Z,0.0,100,UB,1300
1989-05-04Z,0.2,100,UB,1300
1989-05-05Z,0.2,100,UB,1300
1989-05-06Z,0.0,100,UB,1300
1989-05-07Z,0.0,100,UB,1300
1989-05-08Z,0.2,100,UB,1300
1989-05-09Z,0.2,100,UB,1300
1989-05-10Z,0.2,100,UB,1300
1989-05-11Z,0.0,100,UB,1300
1989-05-12Z,2.2,100,UB,1300
1989-05-13Z,12.7,100,UB,1300
1989-05-14Z,0.0,100,UB,1300
1989-05-15Z,0.0,100,UB,1300
1989-05-16Z,0.2,100,UB,1300
1989-05-17Z,0.0,100,UB,1300
1989-05-18Z,0.0,100,UB,1300
1989-05-19Z,0.0,100,UB,1300
1989-05-20Z,0.0,100,UB,1300
1989-05-21Z,0.2,100,UB,1300
1989-05-22Z,0.0,100,UB,1300
1989-05-23Z,0.2,100,UB,1300
1989-05-24Z,0.0,100,UB,1300
1989-05-25Z,0.0,100,UB,1300
1989-05-26Z,1.2,100,UB,1300
1989-05-27Z,0.2,100,UB,1300
1989-05-28Z,0.0,100,UB,1300
1989-05-29Z,0.2,100,UB,1300
1989-05-30Z,0.6,100,UB,1300
1989-05-31Z,56.9,100,UB,1300
1989-05-01Z,0.0,100,VD,1300
1989-05-02Z,0.0,100,VD,1300
1989-05-03Z,0.0,100,VD,1300
1989-05-04Z,0.0,100,VD,1300
1989-05-05Z,0.0,100,VD,1300
1989-05-06Z,0.0,100,VD,1300
1989-05-07Z,0.0,100,VD,1300
1989-05-08Z,0.0,100,VD,1300
1989-05-09Z,0.4,100,VD,1300
1989-05-10Z,0.0,100,VD,1300
1989-05-11Z,0.0,100,VD,1300
1989-05-12Z,1.4,100,VD,1300
1989-05-13Z,1.0,100,VD,1300
