date,0,1,2,3,4,5,6,7,8
2000-01-01,31.02,5.61,1.48,19.14,63.14,6.53,122.26,90.41,29.27
2000-01-02,31.02,5.61,1.48,19.02,63.53,6.53,122.33,90.35,29.35
2000-01-03,31.02,5.6,1.48,18.9,63.31,6.54,122.11,90.3,29.43
2000-01-04,31.02,5.6,1.47,18.78,63.2,6.54,122.37,90.24,29.51
2000-01-05,31.04,5.61,1.46,18.66,63.23,6.54,121.82,90.17,29.59
2000-01-06,31.04,5.61,1.45,18.52,63.35,6.54,121.56,90.13,29.64
2000-01-07,31.06,5.61,1.45,18.4,63.55,6.54,120.64,90.07,29.72
2000-01-08,31.06,5.61,1.44,18.27,62.72,6.54,121.74,90.02,29.81
2000-01-09,31.08,5.61,1.44,18.13,63.15,6.55,121.04,89.96,29.9
2000-01-10,31.08,5.62,1.43,18.0,63.49,6.55,120.5,89.88,29.99
2000-01-11,31.1,5.61,1.43,17.91,63.54,6.56,120.13,89.82,30.06
2000-01-12,31.12,5.6,1.42,17.84,63.33,6.56,119.91,89.75,30.15
2000-01-13,31.14,5.59,1.41,17.76,63.21,6.56,119.72,89.67,30.24
2000-01-14,31.14,5.6,1.41,17.69,62.75,6.56,119.61,89.61,30.32
2000-01-15,31.17,5.6,1.41,17.61,62.53,6.57,119.76,89.55,30.4
2000-01-16,31.19,5.62,1.41,17.53,62.74,6.57,118.89,89.49,30.47
2000-01-17,31.21,5.62,1.4,17.46,62.7,6.57,118.14,89.43,29.81
2000-01-18,31.23,5.62,1.4,17.38,62.01,6.57,118.71,89.36,29.9
2000-01-19,31.23,5.62,1.4,17.3,61.61,6.57,118.42,89.32,29.99
2000-01-20,31.23,5.62,1.39,17.22,61.07,6.57,118.46,89.26,30.06
2000-01-21,31.23,5.62,1.39,17.15,60.56,6.58,118.6,89.21,30.15
2000-01-22,31.23,5.62,1.38,17.07,60.26,6.58,118.39,89.15,30.24
2000-01-23,31.23,5.62,1.38,17.0,60.19,6.58,118.1,89.08,30.32
2000-01-24,31.25,5.62,1.37,16.94,60.42,6.58,117.38,89.01,30.4
2000-01-25,31.25,5.62,1.36,16.9,60.37,6.58,116.99,88.93,30.47
2000-01-26,31.25,5.62,1.35,16.85,60.2,6.58,116.57,88.84,30.55
2000-01-27,31.25,5.62,1.35,16.81,59.86,6.58,116.35,88.72,30.62
2000-01-28,31.25,5.63,1.34,16.76,59.65,6.58,116.11,88.64,30.67
2000-01-29,31.27,5.63,1.33,16.7,59.67,6.58,115.61,88.56,30.73
2000-01-30,31.27,5.63,1.32,16.63,60.0,6.59,114.53,88.48,30.78
