station_code,codiEstacio
1,C7
2,C8
3,C9
4,CC
5,CD
6,CE
7,CG
8,CI
9,CJ
10,CL
11,CP
12,CQ
13,CR
14,CT
15,CU
17,CW
18,CY
19,D1
20,D2
21,D3
22,D4
23,D5
24,D6
25,D7
26,D8
27,D9
28,DB
29,DC
30,DD
31,DF
32,DG
33,DI
36,DL
41,H1
42,J5
43,KE
44,KP
45,KX
46,M6
50,U1
51,U2
52,U3
53,U4
54,U5
55,U6
56,U7
57,U9
58,UA
59,UB
60,UC
61,UD
62,UE
63,UF
64,UG
65,UH
66,UI
67,UJ
68,UK
69,UL
70,UM
71,UN
72,UO
73,UP
74,UQ
75,US
76,UU
77,UW
78,UX
79,UY
80,V1
81,V3
82,V4
83,V5
84,V8
85,VA
86,VB
87,VC
88,VD
89,VE
91,VH
92,VJ
93,VK
94,VM
95,VN
96,VO
97,VP
98,VQ
99,VR
100,VS
101,VT
102,VU
103,VV
104,VX
110,W4
112,W6
116,WB
118,WD
124,WK
165,Z1
167,Z3
16,CV
90,VF
0,C6
35,DK
166,Z2
113,W8
34,DJ
49,R1
107,W1
108,W2
109,W3
114,W9
106,VZ
123,WJ
111,W5
119,WE
117,WC
105,VY
168,Z5
121,WG
122,WI
115,WA
120,WF
37,DN
38,DO
39,DP
169,Z6
126,WM
125,WL
170,Z7
128,WO
129,WP
127,WN
47,MQ
130,WQ
171,Z9
131,WR
172,ZB
132,WS
133,WT
40,DQ
134,WU
135,WV
136,WW
137,WX
138,WY
142,X3
139,WZ
141,X2
143,X4
145,X6
140,X1
144,X5
148,X9
146,X7
151,XC
150,XB
147,X8
152,XD
154,XF
155,XG
149,XA
153,XE
156,XH
157,XI
158,XJ
159,XK
48,MR
160,XL
161,XM
173,ZC
164,XP
162,XN
163,XO
